cell,row,column,crate,slot,chan,bin,txfiber,txch,rxrocid,rxfiber,rxch
176,10,3,SBS_ECALVTP1_ROCID,16,0,19,3,2,SBS_ECALVTP2_ROCID,1,2
177,10,4,SBS_ECALVTP1_ROCID,16,1,19,3,3,SBS_ECALVTP2_ROCID,1,3
178,10,5,SBS_ECALVTP1_ROCID,16,2,19,3,4,SBS_ECALVTP2_ROCID,1,4
179,10,6,SBS_ECALVTP1_ROCID,16,3,20,3,5,SBS_ECALVTP2_ROCID,1,5
180,10,7,SBS_ECALVTP1_ROCID,16,4,20,3,6,SBS_ECALVTP2_ROCID,1,6
181,10,8,SBS_ECALVTP1_ROCID,16,5,20,3,7,SBS_ECALVTP2_ROCID,1,7
182,10,9,SBS_ECALVTP1_ROCID,16,6,21,3,8,SBS_ECALVTP2_ROCID,1,8
183,10,10,SBS_ECALVTP1_ROCID,16,7,21,3,9,SBS_ECALVTP2_ROCID,1,9
184,10,11,SBS_ECALVTP1_ROCID,16,8,21,3,10,SBS_ECALVTP2_ROCID,1,10
185,10,12,SBS_ECALVTP1_ROCID,16,9,22,3,11,SBS_ECALVTP2_ROCID,1,11
186,10,13,SBS_ECALVTP1_ROCID,16,10,22,3,12,SBS_ECALVTP2_ROCID,1,12
187,10,14,SBS_ECALVTP1_ROCID,16,11,22,3,13,SBS_ECALVTP2_ROCID,1,13
188,10,15,SBS_ECALVTP1_ROCID,16,12,23,3,14,SBS_ECALVTP2_ROCID,1,14
189,10,16,SBS_ECALVTP1_ROCID,16,13,23,3,15,SBS_ECALVTP2_ROCID,1,15
190,10,17,SBS_ECALVTP1_ROCID,16,14,23,3,16,SBS_ECALVTP2_ROCID,1,16
191,10,18,SBS_ECALVTP1_ROCID,16,15,24,3,17,SBS_ECALVTP2_ROCID,1,17
192,10,19,SBS_ECALVTP1_ROCID,17,0,24,3,18,SBS_ECALVTP2_ROCID,1,18
193,10,20,SBS_ECALVTP1_ROCID,17,1,24,3,19,SBS_ECALVTP2_ROCID,1,19
194,10,21,SBS_ECALVTP1_ROCID,17,2,25,3,20,SBS_ECALVTP2_ROCID,1,20
195,11,1,SBS_ECALVTP1_ROCID,17,3,18,3,21,SBS_ECALVTP2_ROCID,1,21
196,11,2,SBS_ECALVTP1_ROCID,17,4,18,3,22,SBS_ECALVTP2_ROCID,1,22
197,11,3,SBS_ECALVTP1_ROCID,17,5,19,3,23,SBS_ECALVTP2_ROCID,1,23
198,11,4,SBS_ECALVTP1_ROCID,17,6,19,3,24,SBS_ECALVTP2_ROCID,1,24
199,11,5,SBS_ECALVTP1_ROCID,17,7,19,3,25,SBS_ECALVTP2_ROCID,1,25
200,11,6,SBS_ECALVTP1_ROCID,17,8,20,3,26,SBS_ECALVTP2_ROCID,1,26
201,11,7,SBS_ECALVTP1_ROCID,17,9,20,3,27,SBS_ECALVTP2_ROCID,1,27
202,11,8,SBS_ECALVTP1_ROCID,17,10,20,3,28,SBS_ECALVTP2_ROCID,1,28
203,11,9,SBS_ECALVTP1_ROCID,17,11,21,3,29,SBS_ECALVTP2_ROCID,1,29
204,11,10,SBS_ECALVTP1_ROCID,17,12,21,3,30,SBS_ECALVTP2_ROCID,1,30
205,11,11,SBS_ECALVTP1_ROCID,17,13,21,3,31,SBS_ECALVTP2_ROCID,1,31
206,11,12,SBS_ECALVTP1_ROCID,17,14,22,4,0,SBS_ECALVTP2_ROCID,2,0
207,11,13,SBS_ECALVTP1_ROCID,17,15,22,4,1,SBS_ECALVTP2_ROCID,2,1
208,11,14,SBS_ECALVTP1_ROCID,18,0,22,4,2,SBS_ECALVTP2_ROCID,2,2
209,11,15,SBS_ECALVTP1_ROCID,18,1,23,4,3,SBS_ECALVTP2_ROCID,2,3
210,11,16,SBS_ECALVTP1_ROCID,18,2,23,4,4,SBS_ECALVTP2_ROCID,2,4
211,11,17,SBS_ECALVTP1_ROCID,18,3,23,4,5,SBS_ECALVTP2_ROCID,2,5
212,11,18,SBS_ECALVTP1_ROCID,18,4,24,4,6,SBS_ECALVTP2_ROCID,2,6
213,11,19,SBS_ECALVTP1_ROCID,18,5,24,4,7,SBS_ECALVTP2_ROCID,2,7
214,11,20,SBS_ECALVTP1_ROCID,18,6,24,4,8,SBS_ECALVTP2_ROCID,2,8
215,11,21,SBS_ECALVTP1_ROCID,18,7,25,4,9,SBS_ECALVTP2_ROCID,2,9
216,12,0,SBS_ECALVTP2_ROCID,3,0,0,1,0,SBS_ECALVTP1_ROCID,3,0
217,12,1,SBS_ECALVTP2_ROCID,3,1,0,1,1,SBS_ECALVTP1_ROCID,3,1
218,12,2,SBS_ECALVTP2_ROCID,3,2,0,1,2,SBS_ECALVTP1_ROCID,3,2
219,12,3,SBS_ECALVTP2_ROCID,3,3,1,1,3,SBS_ECALVTP1_ROCID,3,3
220,12,4,SBS_ECALVTP2_ROCID,3,4,1,1,4,SBS_ECALVTP1_ROCID,3,4
221,12,5,SBS_ECALVTP2_ROCID,3,5,1,1,5,SBS_ECALVTP1_ROCID,3,5
222,12,6,SBS_ECALVTP2_ROCID,3,6,2,1,6,SBS_ECALVTP1_ROCID,3,6
223,12,7,SBS_ECALVTP2_ROCID,3,7,2,1,7,SBS_ECALVTP1_ROCID,3,7
224,12,8,SBS_ECALVTP2_ROCID,3,8,2,1,8,SBS_ECALVTP1_ROCID,3,8
225,12,9,SBS_ECALVTP2_ROCID,3,9,3,1,9,SBS_ECALVTP1_ROCID,3,9
226,12,10,SBS_ECALVTP2_ROCID,3,10,3,1,10,SBS_ECALVTP1_ROCID,3,10
227,12,11,SBS_ECALVTP2_ROCID,3,11,3,1,11,SBS_ECALVTP1_ROCID,3,11
228,12,12,SBS_ECALVTP2_ROCID,3,12,4,1,12,SBS_ECALVTP1_ROCID,3,12
229,12,13,SBS_ECALVTP2_ROCID,3,13,4,1,13,SBS_ECALVTP1_ROCID,3,13
230,12,14,SBS_ECALVTP2_ROCID,3,14,4,1,14,SBS_ECALVTP1_ROCID,3,14
231,12,15,SBS_ECALVTP2_ROCID,3,15,5,1,15,SBS_ECALVTP1_ROCID,3,15
232,12,16,SBS_ECALVTP2_ROCID,4,0,5,1,16,SBS_ECALVTP1_ROCID,3,16
233,12,17,SBS_ECALVTP2_ROCID,4,1,5,1,17,SBS_ECALVTP1_ROCID,3,17
234,12,18,SBS_ECALVTP2_ROCID,4,2,6,1,18,SBS_ECALVTP1_ROCID,3,18
235,12,19,SBS_ECALVTP2_ROCID,4,3,6,1,19,SBS_ECALVTP1_ROCID,3,19
236,12,20,SBS_ECALVTP2_ROCID,4,4,6,1,20,SBS_ECALVTP1_ROCID,3,20
237,12,21,SBS_ECALVTP2_ROCID,4,5,7,1,21,SBS_ECALVTP1_ROCID,3,21
238,12,22,SBS_ECALVTP2_ROCID,4,6,7,1,22,SBS_ECALVTP1_ROCID,3,22
239,12,23,SBS_ECALVTP2_ROCID,4,7,7,1,23,SBS_ECALVTP1_ROCID,3,23
240,13,0,SBS_ECALVTP2_ROCID,4,8,0,1,24,SBS_ECALVTP1_ROCID,3,24
241,13,1,SBS_ECALVTP2_ROCID,4,9,0,1,25,SBS_ECALVTP1_ROCID,3,25
242,13,2,SBS_ECALVTP2_ROCID,4,10,0,1,26,SBS_ECALVTP1_ROCID,3,26
243,13,3,SBS_ECALVTP2_ROCID,4,11,1,1,27,SBS_ECALVTP1_ROCID,3,27
244,13,4,SBS_ECALVTP2_ROCID,4,12,1,1,28,SBS_ECALVTP1_ROCID,3,28
245,13,5,SBS_ECALVTP2_ROCID,4,13,1,1,29,SBS_ECALVTP1_ROCID,3,29
246,13,6,SBS_ECALVTP2_ROCID,4,14,2,1,30,SBS_ECALVTP1_ROCID,3,30
247,13,7,SBS_ECALVTP2_ROCID,4,15,2,1,31,SBS_ECALVTP1_ROCID,3,31
248,13,8,SBS_ECALVTP2_ROCID,5,0,2,2,0,SBS_ECALVTP1_ROCID,4,0
249,13,9,SBS_ECALVTP2_ROCID,5,1,3,2,1,SBS_ECALVTP1_ROCID,4,1
250,13,10,SBS_ECALVTP2_ROCID,5,2,3,2,2,SBS_ECALVTP1_ROCID,4,2
251,13,11,SBS_ECALVTP2_ROCID,5,3,3,2,3,SBS_ECALVTP1_ROCID,4,3
252,13,12,SBS_ECALVTP2_ROCID,5,4,4,2,4,SBS_ECALVTP1_ROCID,4,4
253,13,13,SBS_ECALVTP2_ROCID,5,5,4,2,5,SBS_ECALVTP1_ROCID,4,5
254,13,14,SBS_ECALVTP2_ROCID,5,6,4,2,6,SBS_ECALVTP1_ROCID,4,6
255,13,15,SBS_ECALVTP2_ROCID,5,7,5,2,7,SBS_ECALVTP1_ROCID,4,7
256,13,16,SBS_ECALVTP2_ROCID,5,8,5,2,8,SBS_ECALVTP1_ROCID,4,8
257,13,17,SBS_ECALVTP2_ROCID,5,9,5,2,9,SBS_ECALVTP1_ROCID,4,9
258,13,18,SBS_ECALVTP2_ROCID,5,10,6,2,10,SBS_ECALVTP1_ROCID,4,10
259,13,19,SBS_ECALVTP2_ROCID,5,11,6,2,11,SBS_ECALVTP1_ROCID,4,11
260,13,20,SBS_ECALVTP2_ROCID,5,12,6,2,12,SBS_ECALVTP1_ROCID,4,12
